angle [deg]	counting rate [cps]
38.00	8.97
38.20	12.47
38.30	14.21
38.40	16.79
38.50	21.55
38.60	31.56
38.70	28.51
38.80	33.60
38.90	47.01
39.00	43.32
39.10	36.19
39.20	39.08
39.30	36.35
39.40	31.31
39.50	30.34
39.60	21.04
39.70	16.70
39.80	14.15
39.90	11.45
40.00	11.49
40.10	9.54
40.20	10.10
40.30	8.56
40.40	7.50
40.50	8.09
40.60	9.54
40.70	9.46
40.80	8.03
40.90	9.52
41.00	12.43
41.10	10.98
41.20	9.03
41.30	11.97
41.40	12.41
41.50	8.44
41.60	8.43
41.70	9.41
41.80	5.46
41.90	5.96
42.00	9.44
42.10	12.97
42.20	15.92
42.30	13.88
42.40	14.44
42.50	17.38
42.60	14.89
42.70	17.38
42.80	26.33
42.90	26.41
43.00	37.63
43.10	61.03
43.20	88.18
43.30	139.43
43.40	177.14
43.50	196.31
43.60	220.35
43.70	234.32
43.80	238.97
43.90	210.90
44.00	160.40
44.10	122.13
44.20	86.04
44.30	55.73
44.40	44.17
44.50	36.09
44.60	26.48
44.70	23.30
44.80	22.87
44.90	20.52
45.00	15.93
45.10	13.43
45.20	10.01
45.30	8.95
45.40	8.43
45.50	8.96
45.60	9.94
45.70	9.48
45.80	12.99
45.90	15.45
46.00	10.94
46.10	4.97
46.20	7.04
46.30	7.60
46.40	7.54
46.50	9.00
46.60	9.43
46.70	9.94
46.80	6.50
46.90	6.93
47.00	8.92
47.10	8.96
47.20	9.50
47.30	9.01
47.40	7.50
47.50	8.55
47.60	13.60
47.70	11.54
47.80	7.47
47.90	6.96
48.00	5.96
