angle [deg]	counting rate [cps]
38.00	7.98
38.20	8.07
38.30	8.59
38.40	6.00
38.50	6.44
38.60	7.94
38.70	7.46
38.80	8.96
38.90	9.49
39.00	6.51
39.10	5.98
39.20	5.49
39.30	4.51
39.40	4.01
39.50	4.00
39.60	5.02
39.70	5.50
39.80	7.47
39.90	7.50
40.00	6.99
40.10	12.42
40.20	15.88
40.30	13.40
40.40	17.63
40.50	23.15
40.60	28.53
40.70	29.51
40.80	26.23
40.90	34.64
41.00	40.58
41.10	43.75
41.20	34.60
41.30	23.52
41.40	29.42
41.50	25.46
41.60	21.61
41.70	19.08
41.80	13.98
41.90	12.46
42.00	7.47
42.10	5.51
42.20	6.01
42.30	4.49
42.40	7.97
42.50	9.96
42.60	5.97
42.70	5.47
42.80	6.97
42.90	11.06
43.00	13.62
43.10	10.56
43.20	8.54
43.30	9.54
43.40	8.52
43.50	8.01
43.60	9.93
43.70	11.52
43.80	10.09
43.90	8.55
44.00	10.54
44.10	7.99
44.20	7.46
44.30	10.97
44.40	11.00
44.50	10.46
44.60	14.59
44.70	17.73
44.80	25.54
44.90	41.37
45.00	59.30
45.10	75.45
45.20	101.56
45.30	142.41
45.40	177.78
45.50	213.13
45.60	233.35
45.70	228.11
45.80	222.15
45.90	203.26
46.00	165.61
46.10	127.30
46.20	88.60
46.30	53.28
46.40	42.67
46.50	36.68
46.60	31.07
46.70	27.03
46.80	18.50
46.90	19.49
47.00	14.98
47.10	14.48
47.20	13.97
47.30	10.49
47.40	10.99
47.50	10.49
47.60	9.95
47.70	7.46
47.80	5.53
47.90	8.01
48.00	9.96
