angle [deg]	counting rate [cps]
20.00	19.99
20.20	11.03
20.40	14.72
20.60	20.37
20.80	15.21
21.00	13.71
21.20	13.97
21.40	9.41
21.60	10.92
21.80	10.51
22.00	12.20
22.20	11.45
22.40	13.15
22.60	18.31
22.80	15.40
23.00	14.67
23.20	11.26
23.40	8.49
23.60	10.19
23.80	11.07
24.00	12.49
24.20	15.27
24.40	15.16
24.60	12.12
24.80	10.24
25.00	10.80
25.20	11.87
25.40	12.86
25.60	17.65
25.80	10.77
26.00	11.73
26.20	14.54
26.40	14.36
26.60	11.72
26.80	13.99
27.00	11.28
27.20	15.24
27.40	36.28
27.60	47.95
27.80	64.61
28.00	68.82
28.20	64.89
28.40	56.97
28.60	41.18
28.80	28.69
29.00	22.83
29.20	21.89
29.40	15.18
29.60	19.04
29.80	18.07
30.00	15.61
30.20	17.34
30.40	56.24
30.60	144.29
30.80	255.62
31.00	344.36
31.20	368.60
31.40	317.02
31.60	212.69
31.80	142.68
32.00	70.58
32.20	25.43
32.40	9.45
32.60	13.12
32.80	12.08
33.00	12.51
33.20	14.46
33.40	11.21
33.60	8.51
33.80	7.24
34.00	12.17
34.20	11.69
34.40	11.68
34.60	17.16
34.80	15.96
35.00	13.43
35.20	12.19
35.40	8.20
35.60	10.72
35.80	11.92
36.00	8.25
36.20	5.50
36.40	9.51
36.60	13.94
36.80	13.44
37.00	7.00
37.20	9.54
37.40	11.79
37.60	8.99
37.80	7.21
38.00	7.72
38.20	2.74
38.40	3.98
38.60	8.05
38.80	8.21
39.00	8.71
39.20	8.91
39.40	6.75
39.60	5.96
39.80	10.51
40.00	6.01
40.20	3.98
40.40	8.47
40.60	9.93
40.80	8.53
41.00	8.72
41.20	9.05
41.40	10.59
41.60	8.01
41.80	3.98
42.00	5.23
42.20	5.20
42.40	9.49
42.60	7.24
42.80	6.73
43.00	7.06
43.20	7.02
43.40	6.96
43.60	4.72
43.80	10.78
44.00	9.23
44.20	11.72
44.40	8.46
44.60	9.22
44.80	9.17
45.00	8.31
45.20	5.03
45.40	4.02
45.60	7.01
45.80	8.78
46.00	6.71
46.20	3.73
46.40	6.02
46.60	6.27
46.80	5.26
47.00	8.02
47.20	8.96
47.40	7.48
47.60	5.49
47.80	4.25
48.00	3.98
48.20	5.49
48.40	4.49
48.60	4.69
48.80	6.51
49.00	4.02
49.20	5.25
49.40	3.76
49.60	5.28
49.80	6.70
50.00	7.72
50.20	7.29
50.40	6.26
50.60	8.24
50.80	5.99
51.00	8.79
51.20	5.49
51.40	6.24
51.60	8.49
51.80	6.73
52.00	2.24
52.20	4.03
52.40	2.74
52.60	5.76
52.80	3.98
53.00	4.47
53.20	5.01
53.40	5.04
53.60	5.00
53.80	2.00
54.00	4.71
54.20	6.00
54.40	8.34
54.60	9.08
54.80	5.29
55.00	5.49
55.20	5.97
55.40	6.74
55.60	6.96
55.80	5.45
56.00	4.97
56.20	7.24
56.40	8.76
56.60	7.47
56.80	8.49
57.00	7.46
57.20	6.28
57.40	5.27
57.60	2.75
57.80	7.28
58.00	13.55
58.20	18.04
58.40	42.49
58.60	42.91
58.80	39.91
59.00	28.74
59.20	20.44
59.40	12.24
59.60	9.95
59.80	6.94
60.00	5.99
60.20	7.49
60.40	7.99
60.60	5.73
60.80	7.24
61.00	8.02
61.20	5.71
61.40	4.22
61.60	6.29
61.80	7.70
62.00	7.22
62.20	3.98
62.40	5.23
62.60	7.44
62.80	7.95
63.00	5.73
63.20	6.48
63.40	6.96
63.60	5.49
63.80	8.79
64.00	7.02
64.20	6.71
64.40	6.24
64.60	6.72
64.80	8.43
65.00	13.59
65.20	52.83
65.40	127.67
65.60	183.91
65.80	232.85
66.00	215.75
66.20	155.56
66.40	91.33
66.60	50.12
66.80	20.24
67.00	11.48
67.20	9.46
67.40	5.98
67.60	6.45
67.80	10.02
68.00	7.25
68.20	5.97
68.40	5.95
68.60	9.74
68.80	10.99
69.00	7.94
69.20	4.73
69.40	6.26
69.60	11.50
69.80	6.24
70.00	3.24
70.20	3.75
70.40	4.01
70.60	3.27
70.80	9.79
71.00	7.58
71.20	6.00
71.40	8.24
71.60	6.70
71.80	3.74
72.00	5.31
72.20	3.02
72.40	4.26
72.60	2.74
72.80	4.24
73.00	6.56
73.20	3.27
73.40	8.74
73.60	9.63
73.80	6.07
74.00	7.20
74.20	6.49
74.40	5.96
74.60	5.22
74.80	5.73
75.00	5.99
75.20	4.49
75.40	2.48
75.60	4.24
75.80	2.73
76.00	6.47
76.20	7.19
76.40	7.07
76.60	8.51
76.80	7.54
77.00	7.02
77.20	5.52
77.40	5.79
77.60	4.52
77.80	4.75
78.00	5.76
78.20	3.00
78.40	4.97
78.60	6.03
78.80	6.73
79.00	5.48
79.20	3.48
79.40	5.99
79.60	3.98
79.80	4.52
80.00	4.28
80.20	6.96
80.40	4.98
80.60	3.98
80.80	4.74
81.00	6.49
81.20	6.99
81.40	7.02
81.60	6.27
81.80	6.01
82.00	6.03
82.20	6.01
82.40	4.50
82.60	2.50
82.80	4.24
83.00	5.72
83.20	6.03
83.40	7.55
83.60	2.01
83.80	0.00
84.00	0.00
84.20	0.00
84.40	0.00
84.60	0.00
84.80	0.00
85.00	0.74
