angle [deg]	counting rate [cps]
20.00	5.94
20.20	10.48
20.30	10.95
20.40	8.44
20.50	9.99
20.60	10.55
20.70	7.48
20.80	11.90
20.90	14.96
21.00	10.99
21.10	6.96
21.20	8.98
21.30	11.99
21.40	8.98
21.50	5.98
21.60	6.01
21.70	6.99
21.80	8.01
21.90	9.57
22.00	9.49
22.10	9.46
22.20	12.04
22.30	10.57
22.40	8.01
22.50	7.94
22.60	9.50
22.70	12.54
22.80	9.51
22.90	8.51
23.00	9.49
23.10	6.94
23.20	7.99
23.30	7.53
23.40	5.02
23.50	8.44
23.60	11.90
23.70	10.48
23.80	9.48
23.90	8.99
24.00	9.98
24.10	10.49
24.20	10.56
24.30	11.62
24.40	12.14
24.50	12.11
24.60	8.06
24.70	6.56
24.80	6.53
24.90	6.03
25.00	9.05
25.10	9.48
25.20	7.98
25.30	10.04
25.40	10.56
25.50	7.52
25.60	4.99
25.70	4.47
25.80	5.97
25.90	8.44
26.00	10.46
26.10	10.43
26.20	8.43
26.30	6.02
26.40	6.97
26.50	6.94
26.60	6.00
26.70	5.01
26.80	3.01
26.90	4.51
27.00	5.97
27.10	5.96
27.20	8.48
27.30	8.46
27.40	5.47
27.50	4.00
27.60	6.53
27.70	11.05
27.80	11.50
27.90	8.95
28.00	10.93
28.10	10.94
28.20	7.49
28.30	8.99
28.40	7.50
28.50	9.57
28.60	10.06
28.70	9.01
28.80	11.02
28.90	9.47
29.00	7.95
29.10	6.99
29.20	6.51
29.30	5.99
29.40	7.46
29.50	5.97
29.60	3.00
29.70	4.96
29.80	6.93
29.90	6.44
30.00	5.99
30.10	5.51
30.20	7.00
30.30	7.02
30.40	8.51
30.50	9.48
30.60	6.99
30.70	7.50
30.80	7.53
30.90	9.49
31.00	11.40
31.10	7.92
31.20	6.97
31.30	7.00
31.40	7.03
31.50	8.09
31.60	6.06
31.70	5.98
31.80	6.46
31.90	7.47
32.00	9.53
32.10	9.55
32.20	7.99
32.30	8.95
32.40	8.98
32.50	9.50
32.60	9.99
32.70	8.49
32.80	9.53
32.90	8.51
33.00	6.51
33.10	6.00
33.20	8.49
33.30	8.52
33.40	6.01
33.50	5.00
33.60	2.99
33.70	5.00
33.80	5.00
33.90	3.01
34.00	3.51
34.10	4.50
34.20	9.55
34.30	11.06
34.40	7.00
34.50	5.47
34.60	8.97
34.70	10.02
34.80	9.01
34.90	7.99
35.00	6.49
35.10	7.99
35.20	8.46
35.30	6.95
35.40	6.97
35.50	7.47
35.60	5.96
35.70	4.50
35.80	5.54
35.90	6.60
36.00	7.07
36.10	8.97
36.20	6.45
36.30	3.47
36.40	6.99
36.50	9.48
36.60	7.97
36.70	6.03
36.80	8.52
36.90	10.47
37.00	10.45
37.10	11.50
37.20	9.56
37.30	6.57
37.40	4.54
37.50	5.00
37.60	6.46
37.70	6.51
37.80	7.55
37.90	7.54
38.00	5.55
38.10	7.00
38.20	8.97
38.30	8.99
38.40	9.02
38.50	6.53
38.60	7.99
38.70	10.96
38.80	14.40
38.90	20.04
39.00	20.78
39.10	19.76
39.20	24.15
39.30	32.74
39.40	39.78
39.50	43.42
39.60	40.48
39.70	37.86
39.80	36.35
39.90	30.36
40.00	27.99
40.10	23.82
40.20	17.58
40.30	19.40
40.40	15.36
40.50	7.50
40.60	9.53
40.70	12.55
40.80	11.49
40.90	9.99
41.00	8.04
41.10	8.58
41.20	10.60
41.30	9.54
41.40	7.01
41.50	8.03
41.60	13.54
41.70	13.03
41.80	11.48
41.90	10.51
42.00	9.03
42.10	10.04
42.20	8.54
42.30	8.98
42.40	9.50
42.50	10.04
42.60	10.56
42.70	10.49
42.80	8.46
42.90	9.57
43.00	10.10
43.10	9.05
43.20	16.07
43.30	18.52
43.40	18.11
43.50	28.23
43.60	42.48
43.70	57.95
43.80	82.11
43.90	117.57
44.00	173.54
44.10	218.57
44.20	229.08
44.30	241.03
44.40	236.79
44.50	192.29
44.60	159.75
44.70	131.20
44.80	93.48
44.90	73.15
45.00	0.00
45.10	47.78
45.20	28.11
45.30	17.88
45.40	19.03
45.50	15.56
45.60	12.46
45.70	11.98
45.80	8.01
45.90	7.01
46.00	9.48
46.10	8.96
46.20	7.00
46.30	10.01
46.40	9.53
46.50	7.98
46.60	9.43
46.70	8.49
46.80	8.54
46.90	8.55
47.00	6.52
47.10	7.54
47.20	8.07
47.30	8.57
47.40	8.54
47.50	8.97
47.60	9.45
47.70	9.42
47.80	9.95
47.90	10.45
48.00	10.90
48.10	10.41
48.20	11.98
48.30	10.06
48.40	8.00
48.50	6.94
48.60	6.98
48.70	8.51
48.80	9.49
48.90	10.48
49.00	11.01
49.10	8.49
49.20	6.50
49.30	8.98
49.40	8.93
49.50	8.46
49.60	9.51
49.70	8.98
49.80	10.00
49.90	11.50
50.00	8.93
50.10	6.48
50.20	6.47
50.30	8.94
50.40	7.45
50.50	5.50
50.60	10.00
50.70	9.53
50.80	7.00
50.90	7.97
51.00	8.54
51.10	7.07
51.20	10.07
51.30	12.54
51.40	9.97
51.50	9.49
51.60	6.53
51.70	6.99
51.80	7.97
51.90	7.00
52.00	10.51
52.10	9.52
52.20	8.48
52.30	9.48
52.40	7.50
52.50	7.47
52.60	9.99
52.70	10.54
52.80	7.01
52.90	5.97
53.00	6.97
53.10	7.48
53.20	5.97
53.30	6.99
53.40	8.99
53.50	7.49
53.60	7.53
53.70	7.05
53.80	6.03
53.90	6.01
54.00	4.49
54.10	4.98
54.20	8.51
54.30	10.96
54.40	8.95
54.50	6.00
