angle [deg]	counting rate [cps]
38.00	8.08
38.20	7.01
38.40	9.21
38.60	6.96
38.80	12.80
39.00	18.13
39.20	25.14
39.40	33.22
39.60	33.52
39.80	31.68
40.00	25.75
40.20	17.25
40.40	15.89
40.60	13.09
40.80	7.51
41.00	8.26
41.20	11.27
41.40	9.00
41.60	5.75
41.80	8.74
42.00	11.52
42.20	8.95
42.40	9.51
42.60	11.47
42.80	13.45
43.00	14.09
43.20	20.96
43.40	26.55
43.60	40.59
43.80	95.75
44.00	152.65
44.20	224.24
44.40	211.75
44.60	149.52
44.80	86.23
45.00	49.14
45.20	35.38
45.40	15.79
45.60	17.48
45.80	15.61
46.00	14.05
46.20	13.99
46.40	10.22
46.60	6.73
46.80	10.56
47.00	11.19
47.20	5.71
47.40	7.07
47.60	9.47
47.80	13.62
48.00	14.85
